date,Citi_OT,BAC_OT,Barclay_OT,OT
1988-11-30,23.758751,6.71875,69.445801,2.023438
1988-12-01,23.55125,6.71875,68.456001,2.0
1988-12-02,23.24,6.71875,67.796204,1.992188
1988-12-05,23.032499,6.71875,67.301399,1.992188
1988-12-06,23.55125,6.96875,67.466301,2.0
1988-12-07,23.758751,7.0625,67.136398,2.023438
1988-12-08,23.55125,7.03125,66.806503,2.054688
1988-12-09,23.655001,6.96875,66.476601,2.0625
1988-12-12,23.655001,7.03125,66.3116,2.0625
1988-12-13,23.032499,7.0625,66.641502,2.070313
1988-12-14,23.032499,7.0625,67.466301,2.039063
1988-12-15,23.24,6.84375,68.456001,2.015625
1988-12-16,18.15625,7.09375,69.2808,2.023438
1988-12-19,18.26,6.96875,68.786003,2.046875
1988-12-20,18.467501,6.875,69.115898,1.992188
1988-12-21,18.26,6.84375,68.621002,1.960938
1988-12-22,18.0525,6.84375,67.631302,1.976563
1988-12-23,18.26,6.71875,67.796204,1.992188
1988-12-27,18.26,6.75,67.796204,2.0
1988-12-28,18.26,6.6875,67.631302,1.992188
1988-12-29,18.15625,6.8125,67.301399,2.0
1988-12-30,18.0525,6.8125,66.971497,2.007813
1989-01-03,17.43,6.8125,66.641502,2.0
1989-01-04,17.94875,6.8125,66.971497,2.03125
1989-01-05,17.741249,6.84375,67.301399,2.03125
1989-01-06,17.844999,6.8125,67.631302,2.046875
1989-01-09,18.26,7.15625,67.961197,2.054688
1989-01-10,18.36375,7.15625,68.950897,2.054688
1989-01-11,18.571251,7.125,68.786003,2.039063
1989-01-12,18.674999,7.15625,69.610703,2.054688
1989-01-13,18.674999,7.125,70.600502,2.078125
1989-01-16,18.467501,7.09375,70.600502,2.070313
1989-01-17,18.15625,7.03125,70.435501,2.085938
1989-01-18,18.26,7.0625,71.590202,2.09375
1989-01-19,18.571251,7.0625,72.084999,2.15625
1989-01-20,18.571251,7.125,72.25,2.15625
1989-01-23,18.26,7.03125,72.084999,2.15625
1989-01-24,18.8825,7.125,71.755096,2.171875
1989-01-25,18.571251,7.375,72.414902,2.203125
1989-01-26,18.674999,7.46875,73.404701,2.203125
1989-01-27,19.504999,7.4375,76.703796,2.210938
1989-01-30,19.81625,7.46875,77.363602,2.21875
1989-01-31,19.504999,7.5,77.858398,2.25
1989-02-01,19.401251,7.46875,76.538803,2.265625
1989-02-02,19.297501,7.46875,75.713997,2.242188
1989-02-03,19.608749,7.65625,76.0439,2.234375
1989-02-06,19.401251,7.65625,75.384102,2.242188
1989-02-07,19.7125,8.0625,76.538803,2.25
1989-02-08,20.127501,8.0,79.837898,2.25
1989-02-09,20.334999,7.96875,79.0131,2.25
1989-02-10,19.81625,7.90625,78.1884,2.25
1989-02-13,19.7125,7.84375,76.538803,2.257813
1989-02-14,19.7125,7.90625,76.538803,2.234375
1989-02-15,19.81625,8.0,76.373901,2.242188
1989-02-16,19.81625,8.15625,75.384102,2.226563
1989-02-17,19.92,8.34375,75.2192,2.25
1989-02-21,19.7125,8.15625,75.713997,2.234375
1989-02-22,18.98625,8.0625,74.559402,2.210938
1989-02-23,19.401251,8.0625,73.2397,2.210938
1989-02-24,18.98625,8.03125,73.2397,2.21875
1989-02-27,18.778749,8.125,72.414902,2.195313
1989-02-28,18.26,8.28125,73.2397,2.210938
1989-03-01,18.26,8.15625,74.229401,2.203125
1989-03-02,18.467501,8.28125,74.394402,2.234375
1989-03-03,18.26,8.65625,74.559402,2.21875
1989-03-06,18.571251,8.5625,74.559402,2.265625
1989-03-07,18.778749,8.5,74.889297,2.226563
1989-03-08,18.467501,8.5,75.054199,2.21875
1989-03-09,18.36375,8.5,74.559402,2.25
1989-03-10,18.26,8.5,74.889297,2.25
1989-03-13,18.467501,8.59375,72.909798,2.257813
1989-03-14,18.467501,8.59375,74.064499,2.242188
1989-03-15,18.36375,8.6875,72.909798,2.242188
1989-03-16,18.674999,9.15625,72.579903,2.265625
1989-03-17,18.36375,9.0,71.2603,2.242188
1989-03-20,18.26,8.96875,70.930397,2.25
1989-03-21,18.15625,9.0,71.590202,2.28125
1989-03-22,18.0525,9.03125,70.765404,2.28125
1989-03-23,17.741249,8.875,71.2603,2.28125
1989-03-27,17.741249,8.84375,71.2603,2.328125
1989-03-28,17.637501,8.84375,71.920097,2.3125
1989-03-29,17.741249,9.0625,72.084999,2.296875
1989-03-30,17.741249,9.0625,72.579903,2.28125
1989-03-31,17.94875,8.875,73.404701,2.296875
1989-04-03,17.533751,8.9375,72.579903,2.304688
1989-04-04,18.0525,8.71875,73.2397,2.296875
1989-04-05,18.0525,8.5625,73.2397,2.296875
1989-04-06,18.15625,8.5625,72.579903,2.296875
1989-04-07,18.15625,8.46875,72.084999,2.3125
1989-04-10,17.637501,8.40625,71.2603,2.335938
1989-04-11,17.533751,8.625,71.2603,2.351563
1989-04-12,17.43,8.75,70.2705,2.304688
1989-04-13,17.43,8.59375,71.095299,2.265625
1989-04-14,17.43,8.6875,71.590202,2.28125
1989-04-17,17.43,8.71875,71.2603,2.304688
1989-04-18,17.741249,8.875,71.425201,2.34375
1989-04-19,17.741249,9.0,73.2397,2.359375
1989-04-20,17.637501,8.9375,72.084999,2.34375
1989-04-21,17.43,9.03125,71.755096,2.390625
1989-04-24,17.533751,9.09375,71.425201,2.382813
1989-04-25,17.32625,9.1875,72.579903,2.34375
1989-04-26,17.32625,9.03125,73.2397,2.375
1989-04-27,17.533751,9.125,73.734596,2.367188
1989-04-28,17.32625,9.09375,74.559402,2.375
1989-05-01,17.533751,9.15625,74.559402,2.351563
1989-05-02,17.533751,9.21875,74.064499,2.320313
1989-05-03,17.43,9.71875,73.734596,2.296875
1989-05-04,17.014999,10.0,74.229401,2.296875
1989-05-05,17.32625,10.125,74.559402,2.28125
1989-05-08,17.32625,9.96875,74.229401,2.289063
1989-05-09,17.014999,9.84375,75.384102,2.289063
1989-05-10,17.11875,9.96875,76.538803,2.28125
1989-05-11,17.32625,9.9375,77.033699,2.273438
1989-05-12,17.533751,10.0,78.518303,2.304688
1989-05-15,17.637501,10.1875,79.508003,2.359375
1989-05-16,17.637501,10.125,78.353302,2.34375
1989-05-17,17.533751,10.1875,79.0131,2.351563
1989-05-18,17.43,10.21875,78.848198,2.398438
1989-05-19,17.637501,10.34375,79.837898,2.421875
1989-05-22,18.0525,10.46875,78.683197,2.4375
1989-05-23,18.467501,10.4375,77.033699,2.398438
1989-05-24,18.36375,10.5,76.0439,2.453125
1989-05-25,18.467501,10.96875,75.384102,2.429688
1989-05-26,18.36375,11.1875,74.724297,2.445313
1989-05-30,18.36375,11.125,73.734596,2.40625
1989-05-31,18.674999,11.71875,73.404701,2.421875
1989-06-01,18.8825,11.75,73.404701,2.46875
1989-06-02,19.297501,11.6875,72.579903,2.507813
1989-06-05,19.297501,11.5625,72.414902,2.507813
1989-06-06,19.504999,11.40625,73.734596,2.523438
1989-06-07,19.608749,11.5,74.064499,2.570313
1989-06-08,20.127501,11.75,74.724297,2.59375
1989-06-09,20.02375,11.65625,75.384102,2.601563
1989-06-12,19.92,11.65625,74.559402,2.601563
1989-06-13,19.81625,11.59375,73.899498,2.59375
1989-06-14,19.401251,11.46875,72.909798,2.617188
1989-06-15,19.608749,11.46875,72.084999,2.609375
1989-06-16,19.504999,11.5625,72.579903,2.648438
1989-06-19,19.401251,11.65625,73.074799,2.648438
1989-06-20,19.401251,11.875,75.384102,2.65625
1989-06-21,19.19375,11.875,76.0439,2.648438
1989-06-22,19.297501,11.9375,75.878998,2.71875
1989-06-23,19.608749,12.03125,75.054199,2.78125
1989-06-26,19.504999,12.03125,74.724297,2.84375
1989-06-27,19.504999,12.0,75.713997,2.8125
1989-06-28,19.19375,11.875,76.2089,2.703125
1989-06-29,18.467501,11.625,74.724297,2.625
1989-06-30,18.467501,11.3125,73.404701,2.632813
1989-07-03,18.674999,11.40625,74.064499,2.625
1989-07-05,18.467501,11.8125,74.229401,2.671875
1989-07-06,18.571251,12.0,73.899498,2.703125
1989-07-07,18.8825,12.0625,75.384102,2.703125
1989-07-10,19.401251,12.1875,77.363602,2.71875
1989-07-11,19.608749,12.09375,79.178101,2.703125
1989-07-12,20.127501,12.03125,78.1884,2.71875
1989-07-13,19.92,12.21875,77.198601,2.6875
1989-07-14,19.81625,12.3125,77.693497,2.726563
1989-07-17,20.334999,12.375,79.0131,2.671875
1989-07-18,19.81625,12.5625,79.0131,2.640625
1989-07-19,20.5425,12.6875,79.343002,2.648438
1989-07-20,20.438749,12.875,79.343002,2.648438
1989-07-21,20.438749,12.9375,79.837898,2.671875
1989-07-24,20.5425,12.875,78.848198,2.640625
1989-07-25,21.268749,12.875,78.683197,2.640625
1989-07-26,21.47625,13.0,78.848198,2.65625
1989-07-27,22.6175,13.09375,79.672897,2.671875
1989-07-28,22.51375,13.25,83.9618,2.640625
