date,Wellfargo_OT,BAC_OT,Barclay_OT,OT
1988-11-30,2.023438,6.71875,69.445801,23.758751
1988-12-01,2.0,6.71875,68.456001,23.55125
1988-12-02,1.992188,6.71875,67.796204,23.24
1988-12-05,1.992188,6.71875,67.301399,23.032499
1988-12-06,2.0,6.96875,67.466301,23.55125
1988-12-07,2.023438,7.0625,67.136398,23.758751
1988-12-08,2.054688,7.03125,66.806503,23.55125
1988-12-09,2.0625,6.96875,66.476601,23.655001
1988-12-12,2.0625,7.03125,66.3116,23.655001
1988-12-13,2.070313,7.0625,66.641502,23.032499
1988-12-14,2.039063,7.0625,67.466301,23.032499
1988-12-15,2.015625,6.84375,68.456001,23.24
1988-12-16,2.023438,7.09375,69.2808,18.15625
1988-12-19,2.046875,6.96875,68.786003,18.26
1988-12-20,1.992188,6.875,69.115898,18.467501
1988-12-21,1.960938,6.84375,68.621002,18.26
1988-12-22,1.976563,6.84375,67.631302,18.0525
1988-12-23,1.992188,6.71875,67.796204,18.26
1988-12-27,2.0,6.75,67.796204,18.26
1988-12-28,1.992188,6.6875,67.631302,18.26
1988-12-29,2.0,6.8125,67.301399,18.15625
1988-12-30,2.007813,6.8125,66.971497,18.0525
1989-01-03,2.0,6.8125,66.641502,17.43
1989-01-04,2.03125,6.8125,66.971497,17.94875
1989-01-05,2.03125,6.84375,67.301399,17.741249
1989-01-06,2.046875,6.8125,67.631302,17.844999
1989-01-09,2.054688,7.15625,67.961197,18.26
1989-01-10,2.054688,7.15625,68.950897,18.36375
1989-01-11,2.039063,7.125,68.786003,18.571251
1989-01-12,2.054688,7.15625,69.610703,18.674999
1989-01-13,2.078125,7.125,70.600502,18.674999
1989-01-16,2.070313,7.09375,70.600502,18.467501
1989-01-17,2.085938,7.03125,70.435501,18.15625
1989-01-18,2.09375,7.0625,71.590202,18.26
1989-01-19,2.15625,7.0625,72.084999,18.571251
1989-01-20,2.15625,7.125,72.25,18.571251
1989-01-23,2.15625,7.03125,72.084999,18.26
1989-01-24,2.171875,7.125,71.755096,18.8825
1989-01-25,2.203125,7.375,72.414902,18.571251
1989-01-26,2.203125,7.46875,73.404701,18.674999
1989-01-27,2.210938,7.4375,76.703796,19.504999
1989-01-30,2.21875,7.46875,77.363602,19.81625
1989-01-31,2.25,7.5,77.858398,19.504999
1989-02-01,2.265625,7.46875,76.538803,19.401251
1989-02-02,2.242188,7.46875,75.713997,19.297501
1989-02-03,2.234375,7.65625,76.0439,19.608749
1989-02-06,2.242188,7.65625,75.384102,19.401251
1989-02-07,2.25,8.0625,76.538803,19.7125
1989-02-08,2.25,8.0,79.837898,20.127501
1989-02-09,2.25,7.96875,79.0131,20.334999
1989-02-10,2.25,7.90625,78.1884,19.81625
1989-02-13,2.257813,7.84375,76.538803,19.7125
1989-02-14,2.234375,7.90625,76.538803,19.7125
1989-02-15,2.242188,8.0,76.373901,19.81625
1989-02-16,2.226563,8.15625,75.384102,19.81625
1989-02-17,2.25,8.34375,75.2192,19.92
1989-02-21,2.234375,8.15625,75.713997,19.7125
1989-02-22,2.210938,8.0625,74.559402,18.98625
1989-02-23,2.210938,8.0625,73.2397,19.401251
1989-02-24,2.21875,8.03125,73.2397,18.98625
1989-02-27,2.195313,8.125,72.414902,18.778749
1989-02-28,2.210938,8.28125,73.2397,18.26
1989-03-01,2.203125,8.15625,74.229401,18.26
1989-03-02,2.234375,8.28125,74.394402,18.467501
1989-03-03,2.21875,8.65625,74.559402,18.26
1989-03-06,2.265625,8.5625,74.559402,18.571251
1989-03-07,2.226563,8.5,74.889297,18.778749
1989-03-08,2.21875,8.5,75.054199,18.467501
1989-03-09,2.25,8.5,74.559402,18.36375
1989-03-10,2.25,8.5,74.889297,18.26
1989-03-13,2.257813,8.59375,72.909798,18.467501
1989-03-14,2.242188,8.59375,74.064499,18.467501
1989-03-15,2.242188,8.6875,72.909798,18.36375
1989-03-16,2.265625,9.15625,72.579903,18.674999
1989-03-17,2.242188,9.0,71.2603,18.36375
1989-03-20,2.25,8.96875,70.930397,18.26
1989-03-21,2.28125,9.0,71.590202,18.15625
1989-03-22,2.28125,9.03125,70.765404,18.0525
1989-03-23,2.28125,8.875,71.2603,17.741249
1989-03-27,2.328125,8.84375,71.2603,17.741249
1989-03-28,2.3125,8.84375,71.920097,17.637501
1989-03-29,2.296875,9.0625,72.084999,17.741249
1989-03-30,2.28125,9.0625,72.579903,17.741249
1989-03-31,2.296875,8.875,73.404701,17.94875
1989-04-03,2.304688,8.9375,72.579903,17.533751
1989-04-04,2.296875,8.71875,73.2397,18.0525
1989-04-05,2.296875,8.5625,73.2397,18.0525
1989-04-06,2.296875,8.5625,72.579903,18.15625
1989-04-07,2.3125,8.46875,72.084999,18.15625
1989-04-10,2.335938,8.40625,71.2603,17.637501
1989-04-11,2.351563,8.625,71.2603,17.533751
1989-04-12,2.304688,8.75,70.2705,17.43
1989-04-13,2.265625,8.59375,71.095299,17.43
1989-04-14,2.28125,8.6875,71.590202,17.43
1989-04-17,2.304688,8.71875,71.2603,17.43
1989-04-18,2.34375,8.875,71.425201,17.741249
1989-04-19,2.359375,9.0,73.2397,17.741249
1989-04-20,2.34375,8.9375,72.084999,17.637501
1989-04-21,2.390625,9.03125,71.755096,17.43
1989-04-24,2.382813,9.09375,71.425201,17.533751
1989-04-25,2.34375,9.1875,72.579903,17.32625
1989-04-26,2.375,9.03125,73.2397,17.32625
1989-04-27,2.367188,9.125,73.734596,17.533751
1989-04-28,2.375,9.09375,74.559402,17.32625
1989-05-01,2.351563,9.15625,74.559402,17.533751
1989-05-02,2.320313,9.21875,74.064499,17.533751
1989-05-03,2.296875,9.71875,73.734596,17.43
1989-05-04,2.296875,10.0,74.229401,17.014999
1989-05-05,2.28125,10.125,74.559402,17.32625
1989-05-08,2.289063,9.96875,74.229401,17.32625
1989-05-09,2.289063,9.84375,75.384102,17.014999
1989-05-10,2.28125,9.96875,76.538803,17.11875
1989-05-11,2.273438,9.9375,77.033699,17.32625
1989-05-12,2.304688,10.0,78.518303,17.533751
1989-05-15,2.359375,10.1875,79.508003,17.637501
1989-05-16,2.34375,10.125,78.353302,17.637501
1989-05-17,2.351563,10.1875,79.0131,17.533751
1989-05-18,2.398438,10.21875,78.848198,17.43
1989-05-19,2.421875,10.34375,79.837898,17.637501
1989-05-22,2.4375,10.46875,78.683197,18.0525
1989-05-23,2.398438,10.4375,77.033699,18.467501
1989-05-24,2.453125,10.5,76.0439,18.36375
1989-05-25,2.429688,10.96875,75.384102,18.467501
1989-05-26,2.445313,11.1875,74.724297,18.36375
1989-05-30,2.40625,11.125,73.734596,18.36375
1989-05-31,2.421875,11.71875,73.404701,18.674999
1989-06-01,2.46875,11.75,73.404701,18.8825
1989-06-02,2.507813,11.6875,72.579903,19.297501
1989-06-05,2.507813,11.5625,72.414902,19.297501
1989-06-06,2.523438,11.40625,73.734596,19.504999
1989-06-07,2.570313,11.5,74.064499,19.608749
1989-06-08,2.59375,11.75,74.724297,20.127501
1989-06-09,2.601563,11.65625,75.384102,20.02375
1989-06-12,2.601563,11.65625,74.559402,19.92
1989-06-13,2.59375,11.59375,73.899498,19.81625
1989-06-14,2.617188,11.46875,72.909798,19.401251
1989-06-15,2.609375,11.46875,72.084999,19.608749
1989-06-16,2.648438,11.5625,72.579903,19.504999
1989-06-19,2.648438,11.65625,73.074799,19.401251
1989-06-20,2.65625,11.875,75.384102,19.401251
1989-06-21,2.648438,11.875,76.0439,19.19375
1989-06-22,2.71875,11.9375,75.878998,19.297501
1989-06-23,2.78125,12.03125,75.054199,19.608749
1989-06-26,2.84375,12.03125,74.724297,19.504999
1989-06-27,2.8125,12.0,75.713997,19.504999
1989-06-28,2.703125,11.875,76.2089,19.19375
1989-06-29,2.625,11.625,74.724297,18.467501
1989-06-30,2.632813,11.3125,73.404701,18.467501
1989-07-03,2.625,11.40625,74.064499,18.674999
1989-07-05,2.671875,11.8125,74.229401,18.467501
1989-07-06,2.703125,12.0,73.899498,18.571251
1989-07-07,2.703125,12.0625,75.384102,18.8825
1989-07-10,2.71875,12.1875,77.363602,19.401251
1989-07-11,2.703125,12.09375,79.178101,19.608749
1989-07-12,2.71875,12.03125,78.1884,20.127501
1989-07-13,2.6875,12.21875,77.198601,19.92
1989-07-14,2.726563,12.3125,77.693497,19.81625
1989-07-17,2.671875,12.375,79.0131,20.334999
1989-07-18,2.640625,12.5625,79.0131,19.81625
1989-07-19,2.648438,12.6875,79.343002,20.5425
1989-07-20,2.648438,12.875,79.343002,20.438749
1989-07-21,2.671875,12.9375,79.837898,20.438749
1989-07-24,2.640625,12.875,78.848198,20.5425
1989-07-25,2.640625,12.875,78.683197,21.268749
1989-07-26,2.65625,13.0,78.848198,21.47625
1989-07-27,2.671875,13.09375,79.672897,22.6175
1989-07-28,2.640625,13.25,83.9618,22.51375
1989-07-31,2.65625,13.375,84.9515,22.41
1989-08-01,2.671875,13.5625,84.456596,22.928749
1989-08-02,2.703125,13.625,83.301903,23.032499
1989-08-03,2.703125,13.53125,83.301903,22.51375
1989-08-04,2.703125,13.59375,84.126701,22.6175
1989-08-07,2.8125,13.71875,84.621597,22.928749
1989-08-08,2.828125,13.59375,85.446297,23.24
1989-08-09,2.78125,13.53125,86.106201,22.825001
1989-08-10,2.8125,13.53125,86.271103,23.24
1989-08-11,2.71875,13.46875,86.106201,22.825001
1989-08-14,2.734375,13.1875,84.291702,21.891251
1989-08-15,2.734375,13.0,84.456596,22.41
1989-08-16,2.75,13.25,85.281403,22.825001
1989-08-17,2.703125,13.40625,85.9412,22.721251
1989-08-18,2.703125,13.40625,86.271103,22.928749
1989-08-21,2.65625,13.1875,86.436096,22.30625
1989-08-22,2.671875,12.9375,86.436096,22.51375
1989-08-23,2.609375,12.9375,88.085602,22.6175
1989-08-24,2.734375,13.21875,91.384697,22.51375
1989-08-25,2.75,13.25,91.7146,22.30625
1989-08-28,2.8125,13.09375,91.7146,22.41
1989-08-29,2.78125,13.25,89.900101,21.995001
1989-08-30,2.765625,13.125,89.405296,22.6175
1989-08-31,2.78125,13.03125,89.075302,22.6175
1989-09-01,2.8125,13.09375,89.405296,22.825001
1989-09-05,2.8125,13.09375,89.075302,22.41
1989-09-06,2.765625,13.03125,88.580498,22.202499
1989-09-07,2.71875,12.75,89.240303,22.098749
1989-09-08,2.796875,12.9375,89.735199,22.41
1989-09-11,2.796875,12.8125,89.240303,22.30625
1989-09-12,2.796875,12.8125,89.405296,22.825001
1989-09-13,2.78125,12.4375,89.075302,22.721251
